Country/Other,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Argentina,40760,70514,-42,888,660,863,-24,14.0,45888932
Bolivia,1503,3537,-58,126,36,47,-23,3.0,11939095
Brazil,289002,576463,-50,1344,2999,5051,-41,14.0,215084963
Chile,150756,196595,-23,7775,885,874,1,46.0,19390464
Colombia,9823,17132,-43,190,439,602,-27,8.0,51789284
Ecuador,4404,13051,-66,243,20,90,-78,1.0,18090693
Falkland Islands,5,4,25,1370,0,0,0,0.0,3649
French Guiana,130,198,-34,417,2,4,-50,6.0,311609
Guyana,149,253,-41,188,3,10,-70,4.0,792896
Paraguay,3067,5772,-47,421,114,155,-26,16.0,7278951
Peru,12100,21416,-44,359,588,1109,-47,17.0,33739343
Suriname,384,436,-12,645,2,6,-67,3.0,595417
Uruguay,14829,25974,-43,4244,79,96,-18,23.0,3493854
Venezuela,2263,3762,-40,80,16,29,-45,0.6,28301251
